service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21,1,0,0,0,0,0,0,20250331,20250605
22,0,1,0,0,0,0,0,20250331,20250605
23,0,0,1,0,0,0,0,20250331,20250605
24,0,0,0,1,0,0,0,20250331,20250605
25,0,0,0,0,1,0,0,20250331,20250605
29,0,0,0,0,0,1,0,20250331,20250605
30,0,0,0,0,0,0,1,20250331,20250605
84,0,0,0,0,0,0,0,20250508,20250508
85,0,0,0,0,0,0,0,20250509,20250509
89,0,0,0,0,0,0,0,20250510,20250510
31,1,0,0,0,0,0,0,20250606,20250612
32,0,1,0,1,1,0,0,20250606,20250612
33,0,0,1,0,0,0,0,20250606,20250612
39,0,0,0,0,0,1,1,20250606,20250612
