route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
A,21,A_21_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,22,A_22_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,23,A_23_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,24,A_24_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,84,A_84_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,25,A_25_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,85,A_85_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,31,A_31_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,32,A_32_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,33,A_33_outbound_0655,Outbound to El Cemonte,0,29,A_MU_outbound
A,21,A_21_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,22,A_22_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,23,A_23_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,24,A_24_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,84,A_84_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,25,A_25_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,85,A_85_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,31,A_31_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,32,A_32_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,33,A_33_outbound_0755,Outbound to El Cemonte,0,29,A_MU_outbound
A,21,A_21_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,22,A_22_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,23,A_23_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,24,A_24_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,84,A_84_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,25,A_25_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,85,A_85_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,31,A_31_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,32,A_32_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,33,A_33_outbound_0900,Outbound to El Cemonte,0,29,A_MU_outbound
A,21,A_21_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,22,A_22_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,23,A_23_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,24,A_24_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,84,A_84_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,25,A_25_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,85,A_85_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,31,A_31_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,32,A_32_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
A,33,A_33_outbound_1000,Outbound to El Cemonte,0,29,A_MU_outbound
